Timestamp,City,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Weather Description
2025-03-26 15:00:00,Mumbai,27.02,70,1010,4.69,clear sky
2025-03-26 18:00:00,Mumbai,26.52,70,1010,3.04,clear sky
2025-03-26 21:00:00,Mumbai,26.2,71,1009,3.57,clear sky
2025-03-27 00:00:00,Mumbai,25.91,72,1009,4.21,clear sky
2025-03-27 03:00:00,Mumbai,26.43,68,1012,3.64,clear sky
2025-03-27 06:00:00,Mumbai,27.49,65,1011,6.25,clear sky
2025-03-27 09:00:00,Mumbai,27.38,65,1009,6.79,clear sky
2025-03-27 12:00:00,Mumbai,27.31,64,1008,6.81,clear sky
2025-03-27 15:00:00,Mumbai,27,65,1010,5.79,clear sky
2025-03-27 18:00:00,Mumbai,26.82,67,1010,5.12,clear sky
2025-03-27 21:00:00,Mumbai,26.13,73,1008,5.56,clear sky
2025-03-28 00:00:00,Mumbai,25.81,72,1009,3.99,clear sky
2025-03-28 03:00:00,Mumbai,26.37,67,1011,3.75,clear sky
2025-03-28 06:00:00,Mumbai,28.12,59,1011,4.34,clear sky
2025-03-28 09:00:00,Mumbai,28.34,65,1007,5.47,clear sky
2025-03-28 12:00:00,Mumbai,28.12,67,1006,8.22,clear sky
2025-03-28 15:00:00,Mumbai,28.38,61,1008,6.56,clear sky
2025-03-28 18:00:00,Mumbai,28.06,64,1009,4.48,clear sky
2025-03-28 21:00:00,Mumbai,27.15,66,1007,7.54,clear sky
2025-03-29 00:00:00,Mumbai,27,64,1007,5.61,clear sky
2025-03-29 03:00:00,Mumbai,27.62,60,1010,3.64,clear sky
2025-03-29 06:00:00,Mumbai,29.55,49,1009,4.22,clear sky
2025-03-29 09:00:00,Mumbai,28.47,52,1006,8.19,clear sky
2025-03-29 12:00:00,Mumbai,28.78,52,1005,9.38,clear sky
2025-03-29 15:00:00,Mumbai,29.31,51,1007,6.15,clear sky
2025-03-29 18:00:00,Mumbai,28.12,61,1008,5.01,clear sky
2025-03-29 21:00:00,Mumbai,27.58,64,1007,5.62,clear sky
2025-03-30 00:00:00,Mumbai,27.15,66,1007,3.42,clear sky
2025-03-30 03:00:00,Mumbai,27.61,62,1009,2.2,clear sky
2025-03-30 06:00:00,Mumbai,29.81,51,1009,3.18,clear sky
2025-03-30 09:00:00,Mumbai,29.46,54,1005,8.13,clear sky
2025-03-30 12:00:00,Mumbai,29.31,53,1005,8.38,clear sky
2025-03-30 15:00:00,Mumbai,28.09,67,1008,3.77,clear sky
2025-03-30 18:00:00,Mumbai,27.59,72,1009,3.75,scattered clouds
2025-03-30 21:00:00,Mumbai,27.41,70,1007,3.19,overcast clouds
2025-03-31 00:00:00,Mumbai,27.53,68,1007,2.36,broken clouds
2025-03-31 03:00:00,Mumbai,27.75,66,1009,1.26,overcast clouds
2025-03-31 06:00:00,Mumbai,28.48,62,1009,3.06,broken clouds
2025-03-31 09:00:00,Mumbai,28.1,68,1007,4.45,broken clouds
2025-03-31 12:00:00,Mumbai,28.62,65,1006,4.18,broken clouds
2025-03-26 15:00:00,Delhi,33.25,10,1005,3.03,clear sky
2025-03-26 18:00:00,Delhi,30.5,12,1006,2.11,clear sky
2025-03-26 21:00:00,Delhi,28.56,14,1005,2.13,broken clouds
2025-03-27 00:00:00,Delhi,27,18,1006,2.09,overcast clouds
2025-03-27 03:00:00,Delhi,29.03,16,1008,4.32,clear sky
2025-03-27 06:00:00,Delhi,35.27,11,1007,3.79,clear sky
2025-03-27 09:00:00,Delhi,37.74,9,1003,4.77,clear sky
2025-03-27 12:00:00,Delhi,36.76,9,1002,5.34,clear sky
2025-03-27 15:00:00,Delhi,32.86,10,1004,4.27,clear sky
2025-03-27 18:00:00,Delhi,29.69,12,1005,5.21,clear sky
2025-03-27 21:00:00,Delhi,26.34,7,1006,6,clear sky
2025-03-28 00:00:00,Delhi,23.63,6,1008,4.9,clear sky
2025-03-28 03:00:00,Delhi,24.23,5,1010,3.72,clear sky
2025-03-28 06:00:00,Delhi,30.69,3,1010,4.1,clear sky
2025-03-28 09:00:00,Delhi,33.6,2,1007,5.9,clear sky
2025-03-28 12:00:00,Delhi,32.03,3,1006,5.97,clear sky
2025-03-28 15:00:00,Delhi,28.31,4,1009,5.41,clear sky
2025-03-28 18:00:00,Delhi,25.02,5,1010,4.62,clear sky
2025-03-28 21:00:00,Delhi,21.99,5,1009,4.41,clear sky
2025-03-29 00:00:00,Delhi,20.67,7,1009,4.24,clear sky
2025-03-29 03:00:00,Delhi,22.9,7,1011,5.31,overcast clouds
2025-03-29 06:00:00,Delhi,30.54,4,1010,6.09,overcast clouds
2025-03-29 09:00:00,Delhi,33.7,3,1006,5.3,overcast clouds
2025-03-29 12:00:00,Delhi,33.38,3,1006,5.31,overcast clouds
2025-03-29 15:00:00,Delhi,29.72,5,1007,4.6,overcast clouds
2025-03-29 18:00:00,Delhi,26.53,6,1009,3.83,overcast clouds
2025-03-29 21:00:00,Delhi,23.84,7,1008,3.37,broken clouds
2025-03-30 00:00:00,Delhi,21.87,8,1009,3.45,scattered clouds
2025-03-30 03:00:00,Delhi,24.13,9,1011,4.17,clear sky
2025-03-30 06:00:00,Delhi,31.57,5,1010,5.06,clear sky
2025-03-30 09:00:00,Delhi,34.89,3,1007,4.7,clear sky
2025-03-30 12:00:00,Delhi,34.44,3,1006,4.48,clear sky
2025-03-30 15:00:00,Delhi,29.94,5,1009,2.55,clear sky
2025-03-30 18:00:00,Delhi,26.79,6,1010,2.65,clear sky
2025-03-30 21:00:00,Delhi,24.72,7,1009,2.61,clear sky
2025-03-31 00:00:00,Delhi,22.98,8,1009,2.79,clear sky
2025-03-31 03:00:00,Delhi,26.03,7,1011,2.57,clear sky
2025-03-31 06:00:00,Delhi,33.81,5,1010,3.47,clear sky
2025-03-31 09:00:00,Delhi,36.86,3,1007,3.86,clear sky
2025-03-31 12:00:00,Delhi,36.24,3,1006,4.17,clear sky
2025-03-26 15:00:00,Bangalore,30.1,22,1009,5.6,scattered clouds
2025-03-26 18:00:00,Bangalore,26.22,37,1011,4.1,broken clouds
2025-03-26 21:00:00,Bangalore,23.21,54,1009,3.58,few clouds
2025-03-27 00:00:00,Bangalore,22.47,56,1010,1.68,clear sky
2025-03-27 03:00:00,Bangalore,26.24,44,1012,3.29,broken clouds
2025-03-27 06:00:00,Bangalore,31.04,28,1010,2.3,scattered clouds
2025-03-27 09:00:00,Bangalore,34.18,19,1006,0.61,clear sky
2025-03-27 12:00:00,Bangalore,32.74,20,1005,2.39,scattered clouds
2025-03-27 15:00:00,Bangalore,31.4,21,1008,2.44,overcast clouds
2025-03-27 18:00:00,Bangalore,27.42,44,1009,4.7,overcast clouds
2025-03-27 21:00:00,Bangalore,24.2,62,1008,2.51,light rain
2025-03-28 00:00:00,Bangalore,23.35,70,1009,2.57,few clouds
2025-03-28 03:00:00,Bangalore,26.59,53,1011,2.22,clear sky
2025-03-28 06:00:00,Bangalore,32.63,28,1010,0.55,clear sky
2025-03-28 09:00:00,Bangalore,35.08,17,1005,1.23,few clouds
2025-03-28 12:00:00,Bangalore,34.06,17,1004,3.44,scattered clouds
2025-03-28 15:00:00,Bangalore,31.13,25,1008,6.03,overcast clouds
2025-03-28 18:00:00,Bangalore,28.85,35,1009,3.22,overcast clouds
2025-03-28 21:00:00,Bangalore,26.72,40,1008,3.19,overcast clouds
2025-03-29 00:00:00,Bangalore,23.99,64,1009,3,broken clouds
2025-03-29 03:00:00,Bangalore,26.91,54,1011,4.36,scattered clouds
2025-03-29 06:00:00,Bangalore,32.66,24,1009,2.18,broken clouds
2025-03-29 09:00:00,Bangalore,35.56,14,1005,2.59,scattered clouds
2025-03-29 12:00:00,Bangalore,34.65,14,1004,5.82,broken clouds
2025-03-29 15:00:00,Bangalore,30.2,20,1008,5.46,scattered clouds
2025-03-29 18:00:00,Bangalore,26.91,33,1009,3.45,few clouds
2025-03-29 21:00:00,Bangalore,24.91,45,1008,2.73,few clouds
2025-03-30 00:00:00,Bangalore,23.25,59,1009,2.07,few clouds
2025-03-30 03:00:00,Bangalore,26.82,45,1011,2.35,overcast clouds
2025-03-30 06:00:00,Bangalore,32.6,22,1010,3.25,overcast clouds
2025-03-30 09:00:00,Bangalore,34.75,16,1006,4.68,overcast clouds
2025-03-30 12:00:00,Bangalore,32.98,19,1006,5.96,overcast clouds
2025-03-30 15:00:00,Bangalore,28.75,27,1010,5.12,overcast clouds
2025-03-30 18:00:00,Bangalore,26.4,36,1011,4.3,broken clouds
2025-03-30 21:00:00,Bangalore,23.44,54,1010,3.6,broken clouds
2025-03-31 00:00:00,Bangalore,22.59,55,1010,2.88,broken clouds
2025-03-31 03:00:00,Bangalore,26.37,44,1011,2.55,scattered clouds
2025-03-31 06:00:00,Bangalore,32.63,21,1010,3.3,few clouds
2025-03-31 09:00:00,Bangalore,35.31,14,1007,6.06,clear sky
2025-03-31 12:00:00,Bangalore,33.31,16,1006,6.97,clear sky
2025-03-26 15:00:00,Hyderabad,30.81,19,1008,3.23,few clouds
2025-03-26 18:00:00,Hyderabad,28.28,24,1009,1.62,few clouds
2025-03-26 21:00:00,Hyderabad,26.78,28,1007,1.83,clear sky
2025-03-27 00:00:00,Hyderabad,25.88,31,1008,1.33,clear sky
2025-03-27 03:00:00,Hyderabad,28.78,35,1011,5.23,clear sky
2025-03-27 06:00:00,Hyderabad,35.29,17,1009,3.04,clear sky
2025-03-27 09:00:00,Hyderabad,37.46,12,1005,1.93,clear sky
2025-03-27 12:00:00,Hyderabad,36.61,12,1004,1.16,clear sky
2025-03-27 15:00:00,Hyderabad,32.73,15,1007,1.41,clear sky
2025-03-27 18:00:00,Hyderabad,29.6,21,1007,1.13,clear sky
2025-03-27 21:00:00,Hyderabad,28.35,24,1006,1.09,clear sky
2025-03-28 00:00:00,Hyderabad,27.61,25,1007,2.27,clear sky
2025-03-28 03:00:00,Hyderabad,31,25,1010,2.23,clear sky
2025-03-28 06:00:00,Hyderabad,36.55,15,1008,3.57,clear sky
2025-03-28 09:00:00,Hyderabad,38.42,10,1004,3.2,clear sky
2025-03-28 12:00:00,Hyderabad,37.75,9,1004,3.2,clear sky
2025-03-28 15:00:00,Hyderabad,32.66,12,1007,3.1,clear sky
2025-03-28 18:00:00,Hyderabad,30.42,15,1007,2.11,few clouds
2025-03-28 21:00:00,Hyderabad,29,19,1006,1.53,clear sky
2025-03-29 00:00:00,Hyderabad,27.73,21,1007,3.9,clear sky
2025-03-29 03:00:00,Hyderabad,31.66,16,1009,2.8,clear sky
2025-03-29 06:00:00,Hyderabad,36.77,12,1008,3.61,clear sky
2025-03-29 09:00:00,Hyderabad,38.57,11,1004,3.61,broken clouds
2025-03-29 12:00:00,Hyderabad,37.63,12,1004,2.9,broken clouds
2025-03-29 15:00:00,Hyderabad,33.69,16,1006,2.31,clear sky
2025-03-29 18:00:00,Hyderabad,30.93,20,1007,1.58,scattered clouds
2025-03-29 21:00:00,Hyderabad,29.07,23,1006,1.22,overcast clouds
2025-03-30 00:00:00,Hyderabad,27.13,29,1007,3.17,broken clouds
2025-03-30 03:00:00,Hyderabad,31.01,25,1010,2.55,overcast clouds
2025-03-30 06:00:00,Hyderabad,35.98,21,1009,3.13,broken clouds
2025-03-30 09:00:00,Hyderabad,37.93,16,1006,4.83,broken clouds
2025-03-30 12:00:00,Hyderabad,36.49,16,1006,4.83,overcast clouds
2025-03-30 15:00:00,Hyderabad,32.53,23,1008,3.28,overcast clouds
2025-03-30 18:00:00,Hyderabad,29.7,33,1009,3.97,overcast clouds
2025-03-30 21:00:00,Hyderabad,27.96,39,1007,2.15,overcast clouds
2025-03-31 00:00:00,Hyderabad,25.41,53,1009,3.56,overcast clouds
